"都道府県コード"	"都道府県名"	"Origin"	"Key"	"Destination"	"SearchURL"	"Original"
"11"	"埼玉県"	"さいたま新都心駅"	"11-さいたま新都心駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=さいたま新都心駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"さいたま新都心駅"
"11"	"埼玉県"	"さいたま新都心駅"	"11-さいたま新都心駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=さいたま新都心駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"さいたま新都心駅"
"11"	"埼玉県"	"せんげん台駅"	"11-せんげん台駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=せんげん台駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"せんげん台駅"
"11"	"埼玉県"	"せんげん台駅"	"11-せんげん台駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=せんげん台駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"せんげん台駅"
"11"	"埼玉県"	"つきのわ駅"	"11-つきのわ駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=つきのわ駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"つきのわ駅"
"11"	"埼玉県"	"つきのわ駅"	"11-つきのわ駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=つきのわ駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"つきのわ駅"
"11"	"埼玉県"	"ひばりヶ丘駅"	"11-ひばりヶ丘駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ひばりヶ丘駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"ひばりヶ丘駅"
"11"	"埼玉県"	"ひばりヶ丘駅"	"11-ひばりヶ丘駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ひばりヶ丘駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"ひばりヶ丘駅"
"11"	"埼玉県"	"ひろせ野鳥の森駅"	"11-ひろせ野鳥の森駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ひろせ野鳥の森駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"ひろせ野鳥の森駅"
"11"	"埼玉県"	"ひろせ野鳥の森駅"	"11-ひろせ野鳥の森駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ひろせ野鳥の森駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"ひろせ野鳥の森駅"
"11"	"埼玉県"	"ふじみ野駅"	"11-ふじみ野駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ふじみ野駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"ふじみ野駅"
"11"	"埼玉県"	"ふじみ野駅"	"11-ふじみ野駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ふじみ野駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"ふじみ野駅"
"11"	"埼玉県"	"みずほ台駅"	"11-みずほ台駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=みずほ台駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"みずほ台駅"
"11"	"埼玉県"	"みずほ台駅"	"11-みずほ台駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=みずほ台駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"みずほ台駅"
"11"	"埼玉県"	"ソシオ流通センター駅"	"11-ソシオ流通センター駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ソシオ流通センター駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"ソシオ流通センター駅"
"11"	"埼玉県"	"ソシオ流通センター駅"	"11-ソシオ流通センター駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ソシオ流通センター駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"ソシオ流通センター駅"
"11"	"埼玉県"	"一ノ割駅"	"11-一ノ割駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=一ノ割駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"一ノ割駅"
"11"	"埼玉県"	"一ノ割駅"	"11-一ノ割駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=一ノ割駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"一ノ割駅"
"11"	"埼玉県"	"一本松駅"	"11-一本松駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=一本松駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"一本松駅"
"11"	"埼玉県"	"一本松駅"	"11-一本松駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=一本松駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"一本松駅"
"11"	"埼玉県"	"七里駅"	"11-七里駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=七里駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"七里駅"
"11"	"埼玉県"	"七里駅"	"11-七里駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=七里駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"七里駅"
"11"	"埼玉県"	"三郷中央駅"	"11-三郷中央駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=三郷中央駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"三郷中央駅"
"11"	"埼玉県"	"三郷中央駅"	"11-三郷中央駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=三郷中央駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"三郷中央駅"
"11"	"埼玉県"	"三郷駅"	"11-三郷駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=三郷駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"三郷駅"
"11"	"埼玉県"	"三郷駅"	"11-三郷駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=三郷駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"三郷駅"
"11"	"埼玉県"	"上尾駅"	"11-上尾駅"	"表参道駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=上尾駅+&tlatlon=&togid=&to=表参道駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=表参道駅"	"上尾駅"
"11"	"埼玉県"	"上尾駅"	"11-上尾駅"	"渋谷駅"	"https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=上尾駅+&tlatlon=&togid=&to=渋谷駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=渋谷駅"	"上尾駅"
