,SearchURL,Origin,Destination,Time,Fare,Transfer,Priority
0,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=あざみ野駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,あざみ野駅,東京駅,1時間13分 --- 48分 --- 58分,450円 --- 419円 --- 808円,乗換：0回 --- 乗換：1回 --- 乗換：1回,[楽] --- [安] --- 
1,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=あざみ野駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,あざみ野駅,横浜駅,24分 --- 28分 --- 28分,335円 --- 335円 --- 335円,乗換：0回 --- 乗換：0回 --- 乗換：0回,[早][楽][安] --- [楽][安] --- [楽][安]
2,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=あざみ野駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,あざみ野駅,センター南駅,6分 --- 6分 --- 6分,242円 --- 242円 --- 242円,乗換：0回 --- 乗換：0回 --- 乗換：0回,[早][楽][安] --- [楽][安] --- [楽][安]
3,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ中央駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,いずみ中央駅,東京駅,1時間11分 --- 1時間12分 --- 1時間4分,"775円 --- 775円 --- 1,206円",乗換：1回 --- 乗換：1回 --- 乗換：2回,[楽] --- [楽] --- [早]
4,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ中央駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,いずみ中央駅,横浜駅,35分 --- 35分 --- 35分,302円 --- 302円 --- 302円,乗換：0回 --- 乗換：0回 --- 乗換：0回,[楽][安] --- [楽][安] --- [楽][安]
5,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ中央駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,いずみ中央駅,センター南駅,1時間1分 --- 1時間6分 --- 1時間14分,606円 --- 606円 --- 700円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽][安] --- [楽][安] --- [楽]
6,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ野駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,いずみ野駅,東京駅,1時間9分 --- 1時間10分 --- 1時間4分,755円 --- 755円 --- 755円,乗換：1回 --- 乗換：1回 --- 乗換：2回,[楽] --- [楽] --- [早]
7,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ野駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,いずみ野駅,横浜駅,33分 --- 33分 --- 33分,282円 --- 282円 --- 282円,乗換：0回 --- 乗換：0回 --- 乗換：0回,[楽][安] --- [楽][安] --- [楽][安]
8,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=いずみ野駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,いずみ野駅,センター南駅,59分 --- 1時間4分 --- 1時間16分,586円 --- 586円 --- 720円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽][安] --- [楽][安] --- [楽]
9,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=おゆみ野駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,おゆみ野駅,東京駅,1時間8分 --- 1時間7分 --- 1時間16分,"1,040円 --- 1,040円 --- 989円",乗換：1回 --- 乗換：1回 --- 乗換：2回,[早][楽] --- [楽] --- 
10,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=おゆみ野駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,おゆみ野駅,横浜駅,1時間42分 --- 1時間49分 --- 1時間53分,"1,491円 --- 1,491円 --- 1,451円",乗換：1回 --- 乗換：1回 --- 乗換：2回,[早][楽] --- [楽] --- 
11,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=おゆみ野駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,おゆみ野駅,センター南駅,2時間11分 --- 2時間9分 --- 2時間25分,"1,795円 --- 1,724円 --- 1,755円",乗換：2回 --- 乗換：3回 --- 乗換：3回,[楽] --- [早] --- 
12,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=お花茶屋駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,お花茶屋駅,東京駅,35分 --- 28分 --- 39分,346円 --- 346円 --- 346円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽][安] --- [楽][安] --- [楽][安]
13,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=お花茶屋駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,お花茶屋駅,横浜駅,1時間3分 --- 1時間5分 --- 1時間4分,775円 --- 750円 --- 750円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽] --- [楽] --- [楽]
